Post,comments
" It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.
","
 
        Ford Motor Company
      
 Jay, this page isn't just for employees it is also for candidates looking for a new career path. We like to provide helpful tips to candidates looking to start their career with Ford.
"
" It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.
","
 
        Rosa Josefina Sayegh Zanotty
      
 ME GUSTARÍA TENER UNA ECOSPORT. SOY ADMIRADORA NRO. 1 DE FORD. DOY FE Y TESTIMONIO QUE SON VEHÍCULOS RESISTENTES


"
" It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.
","
 
        Jordan Walters
      
 Slow's!







"
" It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.
","
 
        Jennifer McCoy
      
 Cafe Roma, Streetside Seafood, KouZina Greek Street Food, Redcoat Tavern...I could go on for days.  Time for a trip home.  :)
"
" It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.
","
 
        Patrick Cox
      
 Joe DeVroy
"
" It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.
","
 
        Domenic Petruso
      
 Downriver has a lot of great ones too, Sibley Garden's comes to mind.

"
" It's time to get moving! From invention to awareness, Ford is developing ways to help you go further every day.
","
 
        Charles Voeltzel CSEP PMP
      
 A bit to the north but well worth the trip: Clarkston Union Bar & Kitchen


"
" Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more
","
 
        Donald Harding
      
 Rick's Sub SHOP has to be one of the best sub shops in Michigan.


"
" Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more
","
 
        Guillermo Schivo
      
 Because reason Ford Argentina leaves homeless to Ford Fiesta users who all have problems in the car stereo, it can be checked on the internet easily
"
" Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more
","
 
        Jason Bolton
      
 Unexpected food?
"
" Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more
","
 
        Barry Bragger
      
 Nothing ""unexpected"" about the fine cuisine in Motown!  It's eclectic, abundant, and (usually) quite affordable.  Eat and enjoy, Motor Town guests and residents!


"
" Did you know: Today, half of all people live in cities and that number is expected to rise to 60 percent by 2030! John Kwant, Vice President, Ford City Solutions, discusses how Ford will work with cities to define transportation challenges and collaborate to align potential solutions for them.
…see more
","
 
        Zalu Gazder
      
 David Peczynski

"
" It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!
","
 
        Mario José Vitorio
      
 https://www.linkedin.com/in/mario-jos%C3%A9-vitorio-78526b133/
"
" It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!
","
 
        Joshua VanWynsberghe
      
 Jordan Diehl Mann"
" It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!
","
 
        Bruce Burton
      
 I suspect it is the German influence.  "
" It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!
","
 
        Peter Gruich
      
 No mention of the Dakota Inn?"
" It's Tip Tuesday! Click below for tips on how to keep your morale up when your job hunt stalls!
","
 
        rachel curry
      
 Have done several on this list.. 2 of my faves.. The motown museum, sooo much music history, more than i expected, and the Ford museum,  I DID sit on the Rosa Parks bus, saw the chair that lincoln sat in, the presidential motorcade cars, again, sooo much more than I expected, the exhibits do rotate, was there several times, saw different things each time... The casinos in greektown were an experience as compared to AC...  A dinner cruise up the river with Canada on one side, and  Detroit on the other, the red Wings game... Saw the octupus on the ice... Very intersting tradition there... Can not wait to go back.."
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Ford Motor Company
      
 Wow, Rachel, that sounds amazing!!
"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Flavia Rodrigues, PMP, CSM
      
 I have the privilege to work with Lynn and I'm very fortunate to be at a company that supports employees in their personal accomplishments as well as their career goals."
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Louwrens Selzer
      
 Are you serious FORD. Fixing the image in South Africa will take more than a daily face massage.  Tell us about how you will accept liability for the Cuga chaos"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Dalvir Dhesi
      
 Good PR"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Tumbász Kata
      
 I have a real problem with autonomous vehicle idea. I like driving your cars.
"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Sandeep Nair
      
 wow"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Matthew Lacy
      
 nice"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Michael Olien
      
 I am currently working at Airbus Ds Optronics ,  which is a boarder security company based in Centurion. And I am also currently completing my B-tech in Industrial engineering, I would like to consider myself  as an individual with passion to learn new things through working hard and seeking of relevant knowledge to answer questions of things I don’t know yet. It is of my great interest to acquire and develop skills necessarily needed in Industrial Engineering, so that at the end of the day I may be able to design, develop, test and evaluate integrated systems for managing industrial production processes including human work factors ,quality control, logistics and material flow, cost analysis and production coordination. I also like challenges therefore I believe I am ready to withstand any challenges that I will encounter while working for you, and as well ready to carry out any task that I will be given in Industrial Engineering to uplift my skills.

Furthermore as a diligent and hardworking individual who also takes pride in my own work, I would like to gain valuable skills and experience with regard to application of what I have learnt during my theory years in real life problems.

Please help me join the organisations
"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
   
 Cool list!!!"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Shivdhan Bangar
      
 nice place...
"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Carlos Chaidez
      
 Visit SLP"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        Sam Sobh
      
 You guys should direct people to Detroit!"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        John J. Kim
      
 Nice-da!"
" Happy Friday! Did you know that Detroit was recently named North America's top 'unexpected' food city by National Geographic! Now get out this weekend and tell us some of your favorite hot spots to get some grub!
","
 
        helcio  natividade natividade"
" Happy Friday! Have you knocked any of these things off your Detroit Bucket List yet? Click below and share some of your favorites!
","
 
        Eduardo Erik Gomez Aldama
      
 beautiful places


"
" Happy Friday! Have you knocked any of these things off your Detroit Bucket List yet? Click below and share some of your favorites!
","
 
        Ford Motor Company
      
 Sam Sobh - Check out number 9!! "
" Meet Lynn Keiser: A Ford software engineer who grew and transitioned in the company with the support and encouragement of her team. Learn more about her inspirational journey.
","
 
        Claudia Asencios Navarro
      
 Cool!"
" Meet Lynn Keiser: A Ford software engineer who grew and transitioned in the company with the support and encouragement of her team. Learn more about her inspirational journey.
","
 
        Meshal AlJawari
      
 Excellent article"
" ICYMI: Here’s a recap of the exciting Ford announcements from NAIAS and a look at the city of tomorrow.
","
 
        Don Jajuga
      
 Thank ok kids let's get together and make this happen - it's great to be off for the holidays  !!!!"
" ICYMI: Here’s a recap of the exciting Ford announcements from NAIAS and a look at the city of tomorrow.
","
 
        Coco Joo
      
 I hope from God and managers of Ford in this New Year to own a car F-150 Limited and is a gift from God first, and Ford Motor Company Second Throughout Omri and I hope to own a Ford but I am poor and I'm from Egypt and the difference is too much currency be thankful to you the rest of the days of my life Baki told All the people of Egypt generously giant Ford Motor company and wish you success always even without your gift Happy New year
"
" ICYMI: Here’s a recap of the exciting Ford announcements from NAIAS and a look at the city of tomorrow.
","
 
        Guillermo Schivo
      
 Because reason Ford Argentina leaves homeless to Ford Fiesta users who all have problems in the car stereo, it can be checked on the internet easily"
" ICYMI: Here’s a recap of the exciting Ford announcements from NAIAS and a look at the city of tomorrow.
","
 
        Guillermo Schivo
      
 Porque razón Ford Argentina deja desamparados a usuarios de Ford Fiesta que todos tienen problemas en el estéreo del automóvil, se puede comprobar en internet fácilmente"
" ICYMI: Here’s a recap of the exciting Ford announcements from NAIAS and a look at the city of tomorrow.
","
 
        Alexandra Reynolds
      
 Madeleine Duprez if they switched Detroit to Chicago/ I would love Palo Alto"
" ICYMI: Here’s a recap of the exciting Ford announcements from NAIAS and a look at the city of tomorrow.
","
 
        Manoj Chakraborty
      
 TO  FORD MOTOR COMPANY &  AUTHORISE PERSON  HELP ME  FOR  THIS MATTER  AS BELOW  MAIL   "
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 
        Manoj Chakraborty
      
 To,
Customer Service Dept.
Ford Motor Company

Subject : Replacement of the FEGO (Trend) car with any other higher version.

We reference to trail mail this to your kindly notice we are unsatisfied to your FEGO (Tread) segment car  since we are already face 2 times life risk near misses  due to technical specification as well as the performance wise is not up to the mark so kindly its my humble request to company management to replacement the Fego car and i am ready to go for higher version of Ford (Ecosport) and the difference amount will pay on delivery so kindly consider my request of this regard with immediate effect since we generally belived that ford will look into this matter seriously and put up this matter to higher management with immediate effect."
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 
        Ada Sunshine
      
 Meery Christmas

"
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 
Acesse Serviços De Escritório Virtual .
      
 A ACESSE Escritório Virtual Tem diversos serviços que podem servi a vocês vejam: Dispomos de serviços adm. gerenciamento de correspondência e salas executivas e de reunião visite-nos ou ligue, 3622-1135
"
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 
        Angelina 'Angie' Card
      
 Shakeyla Hollins


"
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 
        Angelina 'Angie' Card
      
 Ryan Pierce"
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 
        azan musa
      
 good "
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 
        assuik mostapha
      
 Good
"
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 
        Lezah Gertze
      
 Michael Fortune"
" Happy Friday! Click below for 52 places to visit in 2017!  Number 9 looks pretty awesome!
","
 "
" It's Tip Tuesday! Happy New Year! Click below for 6 Career Resolutions You Need to Make in 2017!
","
 
        Shubhanshu Shukla
      
 Thank You very much.

"
" Get creative this holiday season and experiment with mobility!
","
 
        Steve Farley
      
 I'm hoping for an interview in the next few days. Thanks for this.





Like

   Steve Farley’s comment


Reply to Steve Farley’s comment


Reply


1 Like

      1 Like on Steve Farley’s comment
    
 
1 Reply

      1 Comment on Steve Farley’s comment
    




7mo

Open options for Yolanda Naugles’ comment





 


 
        Yolanda Naugles
      
 Good luck!  "
" Get creative this holiday season and experiment with mobility!
","
 
        Nazeeruddin Mohammed
      
 thank you very much "
" It's Tip Tuesday! 2017 is just around the corner! Click here for tips on how to boost your career in the new year!
","
 
        Yolanda Naugles
      
 The current job market is improving by the press, however, I see it differently:  It becoming so much more difficult to land a job especially for the fifty plus community.  As the New Year is coming upon us we should change our thinking and hire the fifty plus."
,"
 
        Osman Ahmed
      
 backup braking, or driver assist feature probably this system is going be synchronize with rear view camera, interesting.."
,"
 
        Cory Amble
      
 So when does my car let me drive?



Reza Aboobucker
      
 probably when your on a deserted island "
,"
 
saikat das
      
 I am interested to join with your company


"
,"
 
        Corporate Career Astro Bharat Bhushan
      
 good
"
,"
 
        Richard Morrison
      
 I hope this comes to consumers soon. I'm thinking about trading up to a new car this year!

"
" Download a full copy of our 2017 Looking Further with Ford Trend Report at http://www.fordtrends.com.
","
 
        JoAnne Stadnicar, CPRW
      
 So great!"
" Download a full copy of our 2017 Looking Further with Ford Trend Report at http://www.fordtrends.com.
","
 
        prasanta deka
      
 great.."
" Download a full copy of our 2017 Looking Further with Ford Trend Report at http://www.fordtrends.com.
","
 
        Joel Marinho
      
 Mayre Nelma Costa"
" Download a full copy of our 2017 Looking Further with Ford Trend Report at http://www.fordtrends.com.
","
 
        Ely Rodriguez
      
 Along with this great initiative Ford should ensure to give support to their employees that are parents of Autism kids, it a big loss when great leaders have to leave the company for these kind of reasons."
" Download a full copy of our 2017 Looking Further with Ford Trend Report at http://www.fordtrends.com.
","
 
        Shveta Singh
      
 Fantastic company, great culture with wonderful people, proud to be a part of building this great brand!

"
" Download a full copy of our 2017 Looking Further with Ford Trend Report at http://www.fordtrends.com.
","
 
        Joseph Sikora
      
 as I've been aware of autism for 32 years , I have seen a great number of entities taking advantage of them , to my disbelief I also see a corporate advantage being taken .......my sister has Epilepsy, Cerebral Palsy and Autism from the DTP shot from Eli Lilly , so I am very aware of all the paradigm , I was there when she got the shot and I held her for her first 15 minute long Grand Mal seizure at 6 months old , I was 14 . Hardest thing I've ever done in my life . So please understand my severe skepticism of this protocol , for it is corporate greed that makes children autistic , and the forcing of mandates on chemical poisoning a.k.a vaccines is criminal in that it creates the paradigm of Autism ....which is an encephalopathy injury in the brain , and is curable thru GcMAF treatment . Don't normalize it , cure it !"
" It's #Tip Tuesday! Click below for 7 mistakes to avoid when job hunting!
","
 
        Joseph Sikora
      
 To this I have argued with Phd's , and they cannot disprove my point . 32 years ago ....I started looking for answers . I  found them .
I know how to cure Autism .
AIDS , FIBROMYALGIA , ALS , MS , CANCER...........EVERY NEUROLOGICAL DISORDER AND EVERY AUTOIMMUNE DISORDER ."
" It's #Tip Tuesday! Click below for 7 mistakes to avoid when job hunting!
","
 
        Joseph Sikora
      
 DO NOT VACCINATE 
VACCINES CRIPPLE AND KILL 
that same batch of vaccine that tried to kill my sister. killed over 5,000 babies between 1984 and 1986 , thus over 5 law suits were settled out of court by the government for up to 25 million each .....that is why the VAERS court was created and the ""Greater Good "" speech was made ......"
" It's #Tip Tuesday! Click below for 7 mistakes to avoid when job hunting!
","
 
        Joseph Sikora
      
 bring your brightest and best , and I will debate anyone , without notes or a phone / computer ..........."
" It's #Tip Tuesday! Click below for 7 mistakes to avoid when job hunting!
","
 
        David Granados Mafé
      
 That should not be news, it should be taken for granted by most companies.




Like

   David Granados Mafé’s comment


Reply to David Granados Mafé’s comment


Reply


4 Likes

      4 Likes on David Granados Mafé’s comment
    
 
2 Replies

      2 Replies on David Granados Mafé’s comment
    




7mo

Open options for Michael Reece ✔’s comment





 


 
        Michael Reece ✔
      
 PR





Like

   Michael Reece ✔’s comment


Reply to Michael Reece ✔’s comment


Reply


1 Like

      1 Like on Michael Reece ✔’s comment
    






7mo

Open options for Kim M Deitz, CPP, PSP, CHPA’S comment





 


 
        Kim M Deitz, CPP, PSP, CHPA
      
 David, I disagree with you. There are no federal laws protecting LGBT people in the workforce like there are to protect other groups of people. That means that they can be fired at any time just for who they are.  It is important for LGBT job seekers to know what companies are a safe place to work so they don't have to worry about harassment and discrimination, or fear losing their job for no legitimate reason. Nothing can be taken for granted when it comes to equal rights."
" It's #Tip Tuesday! Click below for 7 mistakes to avoid when job hunting!
","
 
        Joseph McCuen
      
 This is what's wrong with America !!! This is why an average working woman or man can't buy a new car or truck. Why the hell is there a chief diversity officer or diversity officer or a diversity department!! Wake up America. The hardest working most qualified man or woman should get the job. Done that's it. Quit babing people. Get off your ass America tighten your belts and lets kick ASS. 


Open options for Kim M Deitz, CPP, PSP, CHPA’S comment


Kim M Deitz, CPP, PSP, CHPA
      
 Joseph, you are completely missing the point. This has nothing to do with job qualifications or hiring quotas, if that's what you think. It's about LGBT people having equal rights in the workplace and having a safe, welcoming place to work without discrimination.  If you don't agree with it, that's your privilege. But LinkedIn is not the place for this kind of rhetoric. This is a professional site and your opinions are better suited for an environment such as Facebook.   

    
Open options for Eric Lalicker’s comment





 


 
        Eric Lalicker
      
 I agree with you Joseph 110%.....


"
" It's #Tip Tuesday! Click below for 7 mistakes to avoid when job hunting!
","
 
        Ashutosh Pathak
      
 ford is very best company because all work is systematic way done
Neha Wadhawan
      
 Everyone company is best they don't give a chance to freshers

   

"
" Back, back, back it up! Ford’s latest available driver assist feature takes the worry out of those tough parking spots. Get ready to park stress-free!
","
 
        Michelle Renaud
      
 It is a great statement.  Now if they can work on their harassment policy that would be great.




Like

   Michelle Renaud’s comment


Reply to Michelle Renaud’s comment


Reply


6 Likes

      6 Likes on Michelle Renaud’s comment
    
 
2 Replies

      2 Replies on Michelle Renaud’s comment
    




7mo

Open options for Robert Thorpe’s comment





 

Robert Thorpe
      
 There's a story behind that comment   Nomb!


Open options for Katherine L. Parker, MSBA’S comment


I couldn't agree with you more.  Their Zero Tolerance Policy lasted for maybe one day.  It sounded impressive.





    


"
" Back, back, back it up! Ford’s latest available driver assist feature takes the worry out of those tough parking spots. Get ready to park stress-free!
","
 
        Adriel Oliveira
      
 Leonardo Veloso

"
" Back, back, back it up! Ford’s latest available driver assist feature takes the worry out of those tough parking spots. Get ready to park stress-free!
","
 
        Ankit Kapoor
      
 Nice statement.Continously changing culture after some time is a necessary move

"
" Back, back, back it up! Ford’s latest available driver assist feature takes the worry out of those tough parking spots. Get ready to park stress-free!
","
 
        Patel Rikin
      
 there should be  mechnism to measure equality no meaning of big statement; people turn over ration ? feed back from employee every one is taking but who is working no one knows?...

"
" Back, back, back it up! Ford’s latest available driver assist feature takes the worry out of those tough parking spots. Get ready to park stress-free!
","
 
        JoAnne Stadnicar, CPRW
      
 Kudos to #Ford!!!

"
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
 
        Phil Beyers     ME, IE, MBA, EIT, CSSBB
      
 How do they even measure this to know (statistics - data science)?  I never knew people were telling HR their sexual preferences to document this?  When people quit or get fired is it part of exit interview to ask your sexual preference?  Seems rather baseless claim to pull out a specific group like this ... the idea of treating everyone the same is not to call them out as separate group.  Everyone should be treated the same regardless of race, sex, beliefs, politics, etc. and measured on their abilities to do the job.  We need to stop putting labels on people and stop drawing attention to differences and come together as one team that has a job to do.  
 
Jessica Allen
      
 Actually, what this graphic states is that this company achieved 100% on the HRC Corporate Equality Index for 2017, which has nothing to do with asking someone about their sexual orientation or gender identity, but more to do with things like inclusive healthcare, etc.       http://www.hrc.org/campaigns/corporate-equality-index

 Phil Beyers     ME, IE, MBA, EIT, CSSBB
      
 Jessica Allen  It says ""for LGBT"" , which now is going to cause every other group to say, but what about my group ""for minorities"", ""for ______""  ; leaving the ""for"" off greatly improves the badge.  Or maybe others are thinking , hmmm, why did they write it like that, does that mean my group did not get 100%....  I call this a marketing Fopa
"
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
 
        Blazej Kovac
      
 Hmmm what is with Hetero people? Are they not equal? I thought speaking about sexual preferences at work is not professional, also on Linkedin. The sexual preference is private matter of each of us. "
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
 
        Graham Nightingale
      
 W.T.H....???"
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
 
        Kristi Victoria Monreal Hancock
      
 It is a shame for a perfectly good candidate to be rejected from a career position because of the sex/gender of the person they choose to love.

In the mental health field, I had a hard time being discriminated against, at a facility I got an interview at, for having a disability earlier this year.

A different time,I had a card given to me about my religion because I wrote a poem on LGBT earlier this year for a mental health event. I was surprised because, as a spiritual and religious person myself, it was my first time being bible thumped to that extent.

It's hard when you try to be open about yourself, because people will be rejected for being LGBTSQ, a lot of time because of fear and ignorance. It leads to a lot of issues like Pure OCD, suicidal behavior, eating disorders, for one of the most bullied populations in our country.

What bothers me in my revelation today is that the very people I want to work with (teenagers with depression), will have a really hard time being sure of themselves or trusting anyone, if a country that is lucky enough to be educated for free, can't educate themselves enough on how to be a decent human being.


Perry Gornick
      
 Read my reply below and let it sink in for a moment and learn to play the game like everyone else is forced to do. 

"
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
Perry Gornick
      
 Just apply for the job without having to qualify yourself by including your LGBT lifestyle. If your good at what you do then the other crap shouldn't even come into play. Keep your personal issues private when applying for a position and let your abilities carry the day. It's really a no brainer. 
"
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
 Leonard Fernandes
      
 Photos of leadership team doesn't look diverse at all?"
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
 Janet Vegas
      
 One Go. One Futher."
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
 
        Greg Kimball
      
 So where's the EQUALITY? Equality would be for every LGBT banner you post you would include a Heterosexual Human Rights banner. Unless you are opposed to others values. "
" Our FordInclusiveWorks effort is growing next year offering more positions for people on the spectrum.
","
 
        Graeme McIsaac
      
 Seeing as how I know a lot of people who have worked for Ford, I know this is definitely not true. I guess there corporate executives might support equality but their hearing workers in the factory will show you that they do not."
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Manoj Chakraborty
      
 TO  FORD MOTOR COMPANY &  AUTHORISE PERSON  HELP ME  FOR  THIS MATTER  AS BELOW  MAIL   "
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Manoj Chakraborty
      
 To,
Customer Service Dept.
Ford Motor Company

Subject : Replacement of the FEGO (Trend) car with any other higher version.

We reference to trail mail this to your kindly notice we are unsatisfied to your FEGO (Tread) segment car  since we are already face 2 times life risk near misses  due to technical specification as well as the performance wise is not up to the mark so kindly its my humble request to company management to replacement the Fego car and i am ready to go for higher version of Ford (Ecosport) and the difference amount will pay on delivery so kindly consider my request of this regard with immediate effect since we generally belived that ford will look into this matter seriously and put up this matter to higher management with immediate effect.

To,
Customer Service Dept.
Ford Motor Company"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Manoj Chakraborty
      
  please  reply"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Angel-Dearing Janice
      
 So glad to be retired from Ford, great company"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Janet Moran
      
 Great tips, that apply equally to CVs and other application documents.  Evidence for what your skills and experience is key."
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Kim M Deitz, CPP, PSP, CHPA
      
 Very valuable information on answering interview questions. Thanks! "
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Shyam Krishna
      
 Informative one
"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
Ford Motor Company
      
 Great idea, Miguel!!"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
GOOd
"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Jinnicha Padchasee
      
 Vitawat Pimnithithaworn
"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
Peter Gold
      
 What a clever idea, allowing vehicle drivers to see.  YES, I CREATE WAYS FOR VEHICLE DRIVERS TO BE ALLOWED TO SEE.  I AM SO GOOD AT IT THAT I CREATED AN ENTIRE NEW DISCIPLINE IT IS CALLED Vehicle Door Vehicle Accident Avoidance Systems. By the way ""Driving Tips"" begin, start and end in having the vehicle driver SEE.  Find out from me what all drivers do not see, that I allowed all of them to see. It only took one hundred years to identify and correct the contributing cause that I solved PERFECTLY. 

"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Michael J. Hahn
      
 good"
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Gary R Wilson MBA FCMI
      
 If you are looking at buying a new car, go for one that has night vision, Lidar/Radar and AWD or 4x4/SUV.  The Ranger is a good option or you could go all the way and buy a new Discovery."
" “Ford is committed to creating an environment that promotes diversity and inclusion within our workforce and communities,” said Meeta Huggins, Chief Diversity Officer, Ford Motor Company. “The diverse backgrounds of our employees truly make us a stronger company and we are extremely proud of our policies and programs that support equality."" Learn more: http://ford.to/2ggC3E1
…see more
","
 
        Michael Hagemeyer
      
 Today I saw the wonderful dokumentation ""A Faster Horse"" on Netflix. Wonderful Story around the wonderful dreamcatcher- car . I hope Ford will be great again soon."
